# webTOS dependency license manifest (normal dependency edges; run/build, not dev)
# Regenerate: cargo test -p linux-compat --test licenses -- --ignored rewrite
# name	version	license
addr2line	0.26.1	Apache-2.0 OR MIT
adler2	2.0.1	0BSD OR MIT OR Apache-2.0
ahash	0.8.12	MIT OR Apache-2.0
anyhow	1.0.104	MIT OR Apache-2.0
bench-control	0.1.0	MIT
bitflags	2.13.1	MIT OR Apache-2.0
bytemuck	1.25.2	Zlib OR Apache-2.0 OR MIT
cfg-if	1.0.4	MIT OR Apache-2.0
const-random	0.1.18	MIT OR Apache-2.0
const-random-macro	0.1.16	MIT OR Apache-2.0
cpp_demangle	0.5.1	MIT OR Apache-2.0
crc32fast	1.5.1	MIT OR Apache-2.0
crunchy	0.2.4	MIT
equivalent	1.0.2	Apache-2.0 OR MIT
fallible-iterator	0.3.0	MIT/Apache-2.0
flate2	1.1.10	MIT OR Apache-2.0
fnv	1.0.7	Apache-2.0 / MIT
foldhash	0.2.0	Zlib
getrandom	0.2.17	MIT OR Apache-2.0
gimli	0.33.0	MIT OR Apache-2.0
half	2.7.1	MIT OR Apache-2.0
hashbrown	0.16.1	MIT OR Apache-2.0
hashbrown	0.17.1	MIT OR Apache-2.0
icicle-cpu	0.1.0	MIT OR Apache-2.0
icicle-mem	0.3.0	MIT OR Apache-2.0
indexmap	2.14.1	Apache-2.0 OR MIT
leb128fmt	0.1.0	MIT OR Apache-2.0
libc	0.2.189	MIT OR Apache-2.0
linux-compat	0.1.0	MIT
log	0.4.34	MIT OR Apache-2.0
memchr	2.8.3	Unlicense OR MIT
memmap2	0.9.11	MIT OR Apache-2.0
miniz_oxide	0.9.1	MIT OR Zlib OR Apache-2.0
object	0.38.1	Apache-2.0 OR MIT
object	0.39.1	Apache-2.0 OR MIT
once_cell	1.21.4	MIT OR Apache-2.0
pcode	0.2.0	MIT OR Apache-2.0
pin-project-lite	0.2.17	Apache-2.0 OR MIT
proc-macro2	1.0.107	MIT OR Apache-2.0
quote	1.0.47	MIT OR Apache-2.0
rustc-demangle	0.1.28	MIT/Apache-2.0
ruzstd	0.8.3	MIT
serde	1.0.229	MIT OR Apache-2.0
serde-xml-rs	0.8.2	MIT
serde_core	1.0.229	MIT OR Apache-2.0
serde_derive	1.0.229	MIT OR Apache-2.0
simd-adler32	0.3.10	MIT
sleigh-compile	0.3.0	MIT OR Apache-2.0
sleigh-parse	0.3.0	MIT OR Apache-2.0
sleigh-runtime	0.1.0	MIT OR Apache-2.0
smallvec	1.15.2	MIT OR Apache-2.0
stable_deref_trait	1.2.1	MIT OR Apache-2.0
syn	2.0.119	MIT OR Apache-2.0
syn	3.0.4	MIT OR Apache-2.0
target-lexicon	0.13.5	Apache-2.0 WITH LLVM-exception
thiserror	2.0.20	MIT OR Apache-2.0
thiserror-impl	2.0.20	MIT OR Apache-2.0
tiny-keccak	2.0.2	CC0-1.0
tracing	0.1.44	MIT
tracing-core	0.1.36	MIT
twox-hash	2.1.4	MIT
typed-arena	2.0.2	MIT
unicode-ident	1.0.24	(MIT OR Apache-2.0) AND Unicode-3.0
wasm-encoder	0.243.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
webtos-web	0.1.0	MIT
x64-engine	0.1.0	MIT
xml	1.4.0	MIT
zerocopy	0.8.56	BSD-2-Clause OR Apache-2.0 OR MIT
zerocopy-derive	0.8.56	BSD-2-Clause OR Apache-2.0 OR MIT
